activity	time	p	p_peak	p_smooth
Biking	1085.0	7.734181340654761e-4	0.9320632444887466	0.949667857998545
Walking	1085.0	0.0035397536404674253	0.7655945517112991	0.8020827949688897
Doing yoga	1085.0	3.9993147318391167e-4	0.9367797862266461	0.9565693211068114
Fishing	1085.0	0.0011108435848248266	0.6645989319438119	0.6864621373556589
Dancing	1085.0	2.1702875974076517e-4	0.2911315461664252	0.3166219649213678
Playing football	1085.0	6.35019117200989e-4	0.6569074922245763	0.6931085167563266
Softball	1085.0	3.7349385338304394e-4	0.6272004685779901	0.636871374368955
Playing soccer	1085.0	6.377989872131304e-4	0.7923000783844234	0.8597725662662931
Doing aerobics	1085.0	4.3574195304677763e-4	0.7123903498793066	0.7382142098874183
Hunting	1085.0	4.162507143712059e-4	0.38299476248292946	0.43054429383246146
Bowling	1085.0	6.015208960343469e-4	0.4879702847944165	0.49089576151852277
Rollerblading	1085.0	1.8533364029682542e-4	0.5820371626372959	0.615676017750619
Golfing	1085.0	0.0010916553805004941	0.46557490630079573	0.494316483385697
Boating	1085.0	3.358850252630419e-4	0.4987016077268936	0.5373919680944044
Playing baseball	1085.0	3.0809018618067007e-4	0.6599334632841128	0.7024135718115007
Running	1090.0	9.484658009432837e-4	0.6471237917651599	0.6427436792658966
Hiking	1090.0	1.1490655333086126e-4	0.22715192645949006	0.22824061298727552
Biking	1090.0	7.61526005699003e-4	0.9177317784150624	0.9338537204412942
Walking	1090.0	0.0036055619173586536	0.7798278750899227	0.7890066595239519
Doing yoga	1090.0	3.98287138264136e-4	0.9329281770937883	0.9314727574715684
Fishing	1090.0	0.001118572194207901	0.6692228282434987	0.6660341482440549
Dancing	1090.0	2.3737327207401602e-4	0.31842253441450813	0.2980890079142429
Playing football	1090.0	6.296918310322459e-4	0.6513965806588005	0.6597649658168491
Softball	1090.0	3.9543617774813776e-4	0.664047758028194	0.6517653282114594
Playing soccer	1090.0	6.400875487822323e-4	0.7951430234924267	0.7823198237146375
Doing aerobics	1090.0	4.565086348989453e-4	0.7463415993448587	0.7351427053838884
Hunting	1090.0	4.110154069275382e-4	0.37817772490993323	0.3789559742962268
Bowling	1090.0	7.183983254316704e-4	0.582784468117143	0.5799697806688406
Rollerblading	1090.0	1.803583861177785e-4	0.5664124610389567	0.5688526601266751
Golfing	1090.0	0.0010797476465162193	0.4604964335217381	0.4636224803009865
